accession	reference_type
EPI_ISL_330530	Genetic
EPI_ISL_513951	Genetic
EPI_ISL_357998	Genetic
EPI_ISL_356896	Genetic
EPI_ISL_421016	Genetic
EPI_ISL_434454	Genetic
EPI_ISL_353609	Genetic
EPI_ISL_350000	Genetic
EPI_ISL_334361	Genetic
EPI_ISL_341139	Genetic
EPI_ISL_11497363	Genetic
EPI_ISL_15286755	Genetic
EPI_ISL_17996214	Genetic
EPI_ISL_10826480	Genetic
EPI_ISL_11956900	Genetic
EPI_ISL_17212603	Genetic
EPI_ISL_2918721	Genetic
EPI_ISL_402312	Genetic
EPI_ISL_412313	Genetic
EPI_ISL_767041	Genetic
EPI_ISL_397319	Genetic
EPI_ISL_372278	Genetic
EPI_ISL_336862	Genetic
EPI_ISL_362046	Genetic
EPI_ISL_506937	Genetic
EPI_ISL_644661	Genetic
EPI_ISL_19281447	Genetic
EPI_ISL_19896589	Genetic
EPI_ISL_19896607	Genetic
EPI_ISL_389939	Genetic
EPI_ISL_401911	Genetic
EPI_ISL_410128	Genetic
EPI_ISL_403854	Genetic
EPI_ISL_407166	Genetic
EPI_ISL_414035	Genetic
EPI_ISL_409809	Genetic
EPI_ISL_418483	Genetic
EPI_ISL_483727	Genetic
EPI_ISL_476669	Genetic
EPI_ISL_959700	Genetic
EPI_ISL_534192	Genetic
EPI_ISL_404405	Genetic
EPI_ISL_407567	Genetic
EPI_ISL_497920	Genetic
EPI_ISL_9140552	Genetic
EPI_ISL_16173543	Genetic
EPI_ISL_435256	Genetic
EPI_ISL_19740827	Genetic
EPI_ISL_368855	Genetic
EPI_ISL_415031	Genetic
EPI_ISL_377211	Genetic
EPI_ISL_395312	Genetic
EPI_ISL_394163	Genetic
EPI_ISL_369142	Genetic
EPI_ISL_364267	Genetic
EPI_ISL_421035	Genetic
EPI_ISL_17212573	Genetic
EPI_ISL_17806199	Genetic
EPI_ISL_515502	Genetic
EPI_ISL_400657	Genetic
EPI_ISL_402998	Genetic
EPI_ISL_391381	Genetic
EPI_ISL_405500	Genetic
EPI_ISL_404422	Genetic
EPI_ISL_482932	Genetic
EPI_ISL_414244	Genetic
EPI_ISL_19679452	Genetic
EPI_ISL_19679436	Genetic
EPI_ISL_19679442	Genetic
EPI_ISL_356324	Genetic
EPI_ISL_19679449	Genetic
EPI_ISL_16920596	Genetic
EPI_ISL_398922	Genetic
EPI_ISL_406097	Genetic
EPI_ISL_407136	Genetic
EPI_ISL_341142	Genetic
EPI_ISL_391070	Genetic
EPI_ISL_4520744	Genetic
EPI_ISL_2696189	Genetic
EPI_ISL_2695997	Genetic
EPI_ISL_19281438	Genetic
EPI_ISL_14033453	Genetic
EPI_ISL_19679462	Genetic
EPI_ISL_19679465	Genetic
EPI_ISL_17527259	Genetic
EPI_ISL_534111	Genetic
EPI_ISL_17527260	Genetic
EPI_ISL_14033660	Genetic
EPI_ISL_7745700	Genetic
EPI_ISL_19173829	Genetic
EPI_ISL_4520706	Genetic
EPI_ISL_19281481	Genetic
EPI_ISL_7745708	Genetic
EPI_ISL_15980918	Genetic
EPI_ISL_17102629	Genetic
EPI_ISL_15927717	Genetic
EPI_ISL_15927718	Genetic
EPI_ISL_15364164	Genetic
EPI_ISL_9140548	Genetic
EPI_ISL_17102662	Genetic
EPI_ISL_17496822	Genetic
EPI_ISL_18962731	Genetic
EPI_ISL_19874360	Genetic
EPI_ISL_18857510	Genetic
EPI_ISL_17125396	Genetic
EPI_ISL_17543097	Genetic
EPI_ISL_17125391	Genetic
EPI_ISL_17225837	Genetic
EPI_ISL_16761745	Genetic
EPI_ISL_16003444	Genetic
EPI_ISL_9349279	Genetic
EPI_ISL_14991630	Genetic
EPI_ISL_16433729	Genetic
EPI_ISL_17592681	Genetic
EPI_ISL_19081393	Genetic
EPI_ISL_4005805	Genetic
EPI_ISL_4539769	Genetic
EPI_ISL_3535254	Genetic
EPI_ISL_14854676	Genetic
EPI_ISL_18851527	Genetic
EPI_ISL_18819768	Genetic
EPI_ISL_18830824	Genetic
EPI_ISL_15724806	Genetic
EPI_ISL_16350791	Genetic
EPI_ISL_15724830	Genetic
EPI_ISL_9140546	Genetic
EPI_ISL_15726538	Genetic
EPI_ISL_15724812	Genetic
EPI_ISL_17212556	Genetic
EPI_ISL_16761667	Genetic
EPI_ISL_14975962	Genetic
EPI_ISL_20078907	Genetic
EPI_ISL_17700525	Genetic
EPI_ISL_17854870	Genetic
EPI_ISL_17297728	Genetic
EPI_ISL_17334014	Genetic
EPI_ISL_18713783	Genetic
EPI_ISL_19065195	Genetic
EPI_ISL_19709104	Genetic
EPI_ISL_19731445	Genetic
EPI_ISL_17658039	Genetic
EPI_ISL_17694751	Genetic
EPI_ISL_17546194	Genetic
EPI_ISL_19228941	Genetic
EPI_ISL_17360771	Genetic
EPI_ISL_19029974	Genetic
EPI_ISL_17820218	Genetic
EPI_ISL_18090359	Genetic
EPI_ISL_18713752	Genetic
EPI_ISL_19481972	Genetic
EPI_ISL_16761710	Genetic
EPI_ISL_19905283	Genetic
EPI_ISL_19031454	Genetic
EPI_ISL_5959252	Genetic
EPI_ISL_10826476	Genetic
EPI_ISL_18304049	Genetic
EPI_ISL_19354751	Genetic
EPI_ISL_16524638	Genetic
EPI_ISL_18485065	Genetic
EPI_ISL_18010614	Genetic
EPI_ISL_19707895	Genetic
EPI_ISL_19252495	Genetic
EPI_ISL_19252499	Genetic
EPI_ISL_18304098	Genetic
EPI_ISL_19599330	Genetic
EPI_ISL_19354772	Genetic
EPI_ISL_18074128	Genetic
EPI_ISL_18465691	Genetic
EPI_ISL_18998265	Genetic
EPI_ISL_20140988	Genetic
EPI_ISL_19689129	Genetic
EPI_ISL_19752068	Genetic
EPI_ISL_17049205	Genetic
EPI_ISL_18011087	Genetic
EPI_ISL_17360767	Genetic
EPI_ISL_18245610	Genetic
EPI_ISL_18709336	Genetic
EPI_ISL_18602066	Genetic
EPI_ISL_18137206	Genetic
EPI_ISL_18786098	Genetic
EPI_ISL_14333268	Genetic
EPI_ISL_17742635	Genetic
EPI_ISL_16376441	Genetic
EPI_ISL_17674145	Genetic
EPI_ISL_18143224	Genetic
EPI_ISL_19387211	Genetic
EPI_ISL_19679464	Genetic
EPI_ISL_19679432	Genetic
EPI_ISL_19679451	Genetic
EPI_ISL_17820091	Genetic
EPI_ISL_17693271	Genetic
EPI_ISL_17049208	Genetic
EPI_ISL_17257566	Genetic
EPI_ISL_14387912	Genetic
EPI_ISL_18870843	Genetic
EPI_ISL_15763837	Genetic
EPI_ISL_19566790	Genetic
EPI_ISL_14212847	Genetic
EPI_ISL_13286981	Genetic
EPI_ISL_16809960	Genetic
EPI_ISL_20091266	Genetic
EPI_ISL_19725893	Genetic
EPI_ISL_19026805	Genetic
EPI_ISL_19875569	Genetic
EPI_ISL_17979561	Genetic
EPI_ISL_16878793	Genetic
EPI_ISL_17625069	Genetic
EPI_ISL_16864436	Genetic
EPI_ISL_19029978	Genetic
EPI_ISL_18851444	Genetic
EPI_ISL_19448292	Genetic
EPI_ISL_19747158	Genetic
EPI_ISL_17776885	Genetic
EPI_ISL_16830271	Genetic
EPI_ISL_17778401	Genetic
EPI_ISL_17821746	Genetic
EPI_ISL_17592660	Genetic
EPI_ISL_18388334	Genetic
EPI_ISL_18527643	Genetic
EPI_ISL_18099748	Genetic
EPI_ISL_19669177	Genetic
EPI_ISL_18011078	Genetic
EPI_ISL_17979574	Genetic
EPI_ISL_19596067	Genetic
EPI_ISL_20141005	Genetic
EPI_ISL_19141525	Genetic
EPI_ISL_19259641	Genetic
EPI_ISL_19762402	Genetic
EPI_ISL_18857440	Genetic
EPI_ISL_19359914	Genetic
EPI_ISL_19755594	Genetic
EPI_ISL_19707010	Genetic
EPI_ISL_18930295	Genetic
EPI_ISL_19496375	Genetic
EPI_ISL_19443000	Genetic
EPI_ISL_18948064	Genetic
EPI_ISL_18075243	Genetic
EPI_ISL_18099782	Genetic
EPI_ISL_18167190	Genetic
EPI_ISL_17820114	Genetic
EPI_ISL_18586616	Genetic
EPI_ISL_18022367	Genetic
EPI_ISL_18233568	Genetic
EPI_ISL_20138596	Genetic
EPI_ISL_19774441	Genetic
EPI_ISL_18901603	Genetic
EPI_ISL_18586770	Genetic
EPI_ISL_19774072	Genetic
EPI_ISL_19906703	Genetic
EPI_ISL_20127592	Genetic
EPI_ISL_19838283	Genetic
EPI_ISL_19882125	Genetic
