strain	x_files	x_files__colour	next_gen
A/ABUDHABI/UAE/0000053/2025	Field Trip	#FFD23F	Unnatural Selection
A/ABUDHABI/UAE/0000479/2022	Field Trip	#FFD23F	Journey's End
A/ABUDHABI/UAE/0001435/2023	Jose Chung's From Outer Space	#3FD5D0	Phantasms
A/ABUDHABI/UAE/0002049/2025	Ghouli	#FF6F69	Phantasms
A/ABUDHABI/UAE/0003309/2022	The End	#C48A5A	The Price
A/ABUDHABI/UAE/0003961/2025	Ghouli	#FF6F69	Conundrum
A/ABUDHABI/UAE/0004539/2025	Anasazi	#F47CC3	The Price
A/ABUDHABI/UAE/0004807/2025	Elegy	#B084F5	Conundrum
A/ABUDHABI/UAE/0004813/2025	The End	#C48A5A	Phantasms
A/ABUDHABI/UAE/0004870/2025	Field Trip	#FFD23F	The Price
A/ABUDHABI/UAE/0008533/2022	Musings of a Cigarette Smoking Man	#FF9F40	Journey's End
A/ABUDHABI/UAE/0018056/2025	Anasazi	#F47CC3	The Arsenal of Freedom
A/ABUDHABI/UAE/0020091/2025	Anasazi	#F47CC3	The Arsenal of Freedom
A/ABUDHABI/UAE/0021440/2025	Jose Chung's From Outer Space	#3FD5D0	Q Who
A/ABUDHABI/UAE/0021443/2025	Musings of a Cigarette Smoking Man	#FF9F40	Unnatural Selection
A/ABUDHABI/UAE/0022230/2025	Jose Chung's From Outer Space	#3FD5D0	The Price
A/ABUDHABI/UAE/0024921/2025	The End	#C48A5A	The Price
A/ABUDHABI/UAE/4002462/2022	The Walk	#4CCB7F	Phantasms
A/AKITA/17/2025	Hollywood A.D.	#6BA3E6	Up the Long Ladder
A/AKITA/19/2025	Hollywood A.D.	#6BA3E6	Phantasms
A/AVILA/271/2025	Musings of a Cigarette Smoking Man	#FF9F40	Unnatural Selection
A/Aberystwyth/5654/2025	Musings of a Cigarette Smoking Man	#FF9F40	Phantasms
A/Aberystwyth/7246/2025	Field Trip	#FFD23F	The Price
A/AbuDhabi/003/2019	Hollywood A.D.	#6BA3E6	The Arsenal of Freedom
